순위,영화명,개봉일,월,누적매출액 ,누적관객수 ,스크린수 ,대표국적 ,국적 ,배급사 ,등급 ,장르 ,감독 ,감독점수,배우 ,주연NO.1,점수,손익분기점
22,신과함께-죄와 벌,2017-12-20,12,1.16E+11,14410537,1912,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,2,"판타지,드라마",김용화,1,"하정우,차태현,주지훈",하정우,0.510277183,18496000
94,국제시장,2014-12-17,12,1.11E+11,14261432,1044,한국,한국,씨제이이앤엠(주),2,드라마,윤제균,0,"황정민,김윤진,오달수,정진영,장영남,라미란,김슬기,정영기,맹세창,김동원,김현중,김지영,황창기,박재우,박찬희,김예빈,김재철,김하연,김재현,이소영,류경현,황인준,이종석,이진희,전희경,박재언,유재상,김선영,정윤호,박길수,박영수",황정민,0.472482592,16320000
68,베테랑,2015-08-05,8,1.05E+11,13414009,1115,한국,한국,씨제이이앤엠(주),3,"액션,드라마",류승완,0.453481844,"황정민,유아인,유해진,오달수,장윤주,김시후,오대환,정웅인,정만식,송영창,진경,유인영,박소담,이동휘,배성우,천호진,이채은,조덕현,신지수,김성종,권지훈,정윤헌,장한승,김선웅,김성종,우영택,김민재,김재현,김태용,김지수,박지윤,박지혜,손성민,장소연,유재명,배제기,류선영,정재헌,안길강,마동석,김응수",황정민,0.472482592,
91,검사외전,2016-02-03,2,7.73E+10,9707033,1812,한국,한국,(주)쇼박스,3,"범죄,코미디",이일형,0,"황정민,강동원,이성민,박성웅,김응수,신소율,주진모,김원해,김홍파,김병옥,박종환,전배수,박지환,손종학,신혜선,김시은,김종수,한재영,박지환,박종우,박지홍,송승현,윤석민,이규호,이석준,이선주,이승민,이승우,이승준,이승훈,이승훈,최현준",황정민,0.472482592,
76,공조,2017-01-18,1,6.38E+10,7817459,1392,한국,한국,씨제이이앤엠(주),3,액션,김성훈,0,"현빈,유해진,김주혁,장영남,이해영,윤아,이동휘",현빈,0.153956883,
86,히말라야,2015-12-16,12,6.02E+10,7759473,1095,한국,한국,씨제이이앤엠(주),2,드라마,이석훈,0,"황정민,정우,조성하,김인권,라미란,김원해,이해영,전배수,정유미,유선,한명환,김재준,박민우,배상민,이춘우,이혜진,최종률",황정민,0.472482592,
182,밀정,2016-09-07,9,6.13E+10,7499777,1444,한국,한국,워너브러더스 코리아(주),3,액션,김지운,0,"송강호,공유,한지민,츠루미 신고,엄태구,신성록,서영주,박민우,이진한,이진한,임서영,임서영,전수빈,정유안,조권수,조윤담,이동진,이상희,이수광,이승진,하민,노준표,김정우",송강호,0.550682914,
1,1987,2017-12-27,12,5.82E+10,7231189,1299,한국,한국,씨제이이앤엠(주),3,"역사,드라마",장준환,0.49340291,"김윤석,하정우,유해진",김윤석,0.227169255,163200000
40,마스터,2016-12-21,12,5.81E+10,7147879,1501,한국,한국,씨제이이앤엠(주),3,"액션,범죄",폴 토마스 앤더슨,0,"이병헌,강동원,김우빈,엄지원,오달수,진경,김정우,장한별",이병헌,0.402350027,
51,터널,2016-08-10,8,5.75E+10,7120447,1105,한국,한국,(주)쇼박스,2,드라마,김성훈,0,"하정우,배두나,오달수,김종수,임한빈,정민희,송민석,윤성민,이동진,이상희,최춘범,권승구",하정우,0.510277183,
